pergunta_id|pergunta
1|5. Você acredita que deve ser alterada a abrangência da RDC 302/05?
2|6. A RDC 302/05 apresenta um quadro geral de definições. Você concorda com todas estas definições?
3|7. A RDC 302/05 apresenta definições sobre laboratórios clínicos e sobre postos de coleta laboratorial. Você concorda com estas definições?
4|8. Você concorda com os itens da norma que versam sobre o Responsável Técnico e suas competências frente aos laboratórios clínicos e postos de coleta laboratorial?
5|9. Você concorda com os dispositivos da norma que versam sobre a relação entre o laboratório clínico e o posto de coleta laboratorial?
6|10. Você concorda com os dispositivos da norma que versam sobre as demais questões relacionadas à organização dos laboratórios clínicos e dos postos de coleta laboratorial?
7|11. A RDC 302/05 apresenta diversos itens sobre a organização dos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
8|12. A RDC 302/05 apresenta diversos itens sobre os Recursos Humanos dos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
9|13. A RDC 302/05 apresenta um item sobre a infraestrutura dos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com este item?
10|14 . A norma não apresenta requisitos específicos para a execução de serviços laboratoriais móveis. Você acha necessário este tipo de especificação?
11|15 . A norma não apresenta requisitos detalhados sobre calibração e manutenção preventiva e manutenção corretiva dos equipamentos e instrumentos utilizados nos serviços laboratoriais móveis. Você acha necessário este tipo de detalhamento?
12|16. A RDC 302/05 apresenta diversos itens sobre os equipamentos e instrumentos dos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
13|17. A execução de metodologias In House é, hoje em dia, cada vez mais utilizado na prestação de serviços de laboratório clínico. Você acha que os itens da RDC 302/05 cobrem todas as necessidades sanitárias para a execução deste tipo de processo?
14|18. O uso de Research Use Only – RUO não é regulamentado pela RDC 302/05. Você acha que este assunto deveria ser especificado em norma?
15|19. A RDC 302/05 apresenta diversos itens sobre os produtos para diagnóstico de uso in vitro, reagentes e insumos utilizados nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
16|20. A RDC 302/05 apresenta diversos itens sobre a biossegurança dos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
17|21. A RDC 302/05 apresenta diversos itens sobre Limpeza, Desinfecção e Esterilização realizadas nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
18|22. A RDC 302/05 apresenta diversos itens sobre a fase pré-analítica realizada nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
19|23. Você acha que os Testes Laboratoriais Remotos deveriam ser trabalhados de forma diferente da apresentada na norma?
20|24. Você acha que a relação entre o laboratório clínico e os laboratórios de apoio deveria ser trabalhada pela norma de forma diferente da apresentada na norma?
21|25. A RDC 302/05 apresenta diversos itens sobre a fase analítica realizada nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
22|26. A RDC 302/05 apresenta diversos itens sobre a fase pós-analítica realizada nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
23|27. A RDC 302/05 apresenta diversos itens sobre os registros realizados nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com todos estes itens?
24|28. A RDC 302/05 apresenta um item sobre a Garantia da Qualidade realizada nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com este item?
25|29. A RDC 302/05 apresenta um item sobre Controle da Qualidade realizada nos serviços de laboratório clínico e postos de coleta laboratorial. Você concorda com este item?
